dataset,claim_type,method,feature,expected_sign,n_users_complete,all_zero_fraction,coef_mean,coef_sd,coef_nonzero_mean,rho_raw_mean,rho_centered_mean,n_keysets,n_keysets_ci_excludes_zero,n_keysets_matches_expected_sign,n_keysets_nonzero_same_sign,conditional_sign_across_keysets,nonzero_sign_across_keysets,analysis04_rho_raw_mean,analysis04_rho_centered_mean,analysis04_raw_low_to_high_mean,analysis04_centered_low_to_high_mean,analysis04_rho_raw_sign,analysis04_rho_centered_sign,analysis04_centered_effect_sign,abs_coef_mean
tafeng,expected,tifuknn,repeat_rate,1,2805.3333333333335,0.5288897993019075,0.01811464733415985,0.0060781968648055615,0.0369000352049933,0.2369960078492329,0.11361274904747691,3,3,3,3,positive,positive,0.1795189826705131,0.0475350847223704,0.0880046369803015,0.0269027841985949,positive,positive,positive,0.01811464733415985
tafeng,expected,triple2vec,relational_strength,1,2805.3333333333335,0.5288897993019075,-0.005687746181663444,0.0026443534106572967,-0.012575246226559726,-0.0031129319328297884,-0.03404108042075427,3,1,0,3,negative,negative,0.00264896636753,-0.0065864414129751,-0.0027216577492602,0.0026643327372507,mixed,negative,positive,0.005687746181663444
tafeng,observed_contrast,fpmc,repeat_rate,-1,2805.3333333333335,0.5288897993019075,-0.029292289442080455,0.004991541802548322,-0.05177040204181732,0.0353118636613435,-0.16466523620703977,3,3,3,3,negative,negative,0.063767429041147,-0.1218629767088965,0.0187517469836525,-0.0423501057980541,positive,negative,negative,0.029292289442080455
tafeng,observed_contrast,recency,repeat_rate,-1,2805.3333333333335,0.5288897993019075,-0.01725811138014206,0.0017704418819100539,-0.019193419461850963,0.14201565687310416,-0.0865599743825593,3,3,3,3,negative,negative,0.0919718741566582,-0.1409783517992242,0.0329562959594015,-0.028145556822305,positive,negative,negative,0.01725811138014206
valuedshopper,discovery,fpmc,n_baskets,1,6214.0,0.2035725780495655,0.0032633177979760077,0.0005647247167284592,0.0044226709802919996,0.0058078670969295325,-0.0033924782053044353,3,0,3,3,positive,positive,0.0058078670969295,-0.0033924782053044,0.0147314069959868,-0.0152038648041733,mixed,mixed,negative,0.0032633177979760077
valuedshopper,expected,cbp,repeat_rate,1,6214.0,0.2035725780495655,0.018345732455316153,0.0005058213129096291,0.020525290033797525,0.3862086426542324,0.17673032139462888,3,3,3,3,positive,positive,0.3862086426542324,0.1767303213946288,0.3328086518775516,0.0408602727479696,positive,positive,positive,0.018345732455316153
valuedshopper,expected,dnntsp,transition_strength,1,6214.0,0.2035725780495655,0.00034294524849734525,0.002299337806649965,-0.00010356915417436393,0.12582596522097722,0.017901895766131107,3,0,1,3,mixed,mixed,0.1258259652209772,0.0179018957661311,0.1047910269133057,0.0055004357679297,positive,positive,mixed,0.00034294524849734525
valuedshopper,expected,fpmc,transition_strength,1,6214.0,0.2035725780495655,0.006212317986823268,0.002584474712307265,0.009446298005285212,0.15280695115383544,0.014416024235346285,3,1,3,3,positive,positive,0.1528069511538354,0.0144160242353462,0.1104782015796642,0.0111876104342882,positive,positive,positive,0.006212317986823268
valuedshopper,expected,frequency,repeat_rate,1,6214.0,0.2035725780495655,0.018007367561761804,0.0007305736421441332,0.02023755223951831,0.38424786718815396,0.17229504081752303,3,3,3,3,positive,positive,0.3842478671881539,0.172295040817523,0.3308098410375161,0.0388614619079341,positive,positive,positive,0.018007367561761804
valuedshopper,expected,recency,adjacent_basket_jaccard,1,6214.0,0.2035725780495655,0.008631235049229517,0.003796218732440219,0.014251518374741123,0.3614565444149061,-0.06914960420786873,3,2,3,3,positive,positive,0.3614565444149062,-0.0691496042078687,0.2476600546814292,-0.0385705230991407,positive,negative,negative,0.008631235049229517
valuedshopper,expected,tifuknn,repeat_rate,1,6214.0,0.2035725780495655,0.02113483206726473,0.001440812913549782,0.023922655997613576,0.4021031011389889,0.23081575458318548,3,3,3,3,positive,positive,0.4021031011389889,0.2308157545831854,0.3546774925850524,0.0627291134554705,positive,positive,positive,0.02113483206726473
valuedshopper,expected,triple2vec,relational_strength,1,6214.0,0.2035725780495655,-0.004062956118506689,0.0016950114292403511,-0.005730270146756612,0.10059183021558166,0.028914881232071987,3,2,0,3,negative,negative,0.1005918302155816,0.0289148812320719,0.0843391966354291,0.0042394281792662,positive,positive,mixed,0.004062956118506689
valuedshopper,observed_contrast,fpmc,repeat_rate,-1,6214.0,0.2035725780495655,-0.05564698489192501,0.0014766452571408442,-0.06414317786105965,0.22179309240497633,-0.25946759991169954,3,3,3,3,negative,negative,0.2217930924049763,-0.2594675999116995,0.1422856369707265,-0.1496627421588553,positive,negative,negative,0.05564698489192501
valuedshopper,observed_contrast,recency,repeat_rate,-1,6214.0,0.2035725780495655,-0.03054112585555006,0.0024035211451331412,-0.03229038875405326,0.33634794320079386,-0.13033089582584012,3,3,3,3,negative,negative,0.3363479432007938,-0.1303308958258401,0.2314098617266554,-0.0605385174029264,positive,negative,negative,0.03054112585555006
