dataset,feature,method,n_users,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,raw_low_to_high_mean,raw_low_to_high_sd,centered_low_to_high_mean,centered_low_to_high_sd,rho_raw_sign,rho_centered_sign,centered_effect_sign
dunnhumby,target_transition_strength,frequency,4504.0,0.2923748454909512,0.025379108743096842,0.09627920173221964,0.01253069859257936,0.22030994628026687,0.023089634809386472,0.01743465334323543,0.005487636578796022,positive,positive,positive
dunnhumby,target_transition_strength,recency,4504.0,0.3018810120440914,0.02201142664955001,-0.05574387139549436,0.013072745272181528,0.18050377903358017,0.021885224393769054,-0.022371513903451296,0.0041463698485288405,positive,negative,negative
dunnhumby,target_transition_strength,tifuknn,4504.0,0.29985711269820586,0.026764067773738305,0.11483713569153946,0.022888585873345448,0.22290663624267157,0.020977336468125485,0.020031343305640107,0.006753640418398967,positive,positive,positive
dunnhumby,target_transition_strength,triple2vec,4504.0,0.289469949221611,0.02181661565098347,0.04575455425406397,0.011264897156552739,0.2124208455708496,0.02146820324808526,0.009545552633818162,0.004797689893629336,positive,positive,positive
instacart,target_basket_size,cbp,4124.0,0.30524212014796537,0.010853649884883491,0.1473817935207765,0.024719389843282147,0.2627125593773702,0.02370879492055937,0.03207954446942562,0.006098636612986098,positive,positive,positive
instacart,target_basket_size,diffrec,4124.0,0.3619507159705753,0.00935067177445167,0.1115046622030366,0.02535194201434584,0.27820890473432397,0.017413683432928165,0.047575889826379426,0.008339611159589153,positive,positive,positive
instacart,target_basket_size,dnntsp,4124.0,0.3475654100227621,0.005807831151938279,0.11893595547358249,0.0409419619034071,0.2871607022059853,0.01792073907727744,0.0565276872980408,0.01625394376915578,positive,positive,positive
instacart,target_basket_size,fpmc,4124.0,0.3734898992688132,0.015538156333222133,-0.1223950718228841,0.0213999596939717,0.1835537477175296,0.00356167452384949,-0.04707926719041494,0.024686231923379154,positive,negative,negative
instacart,target_basket_size,frequency,4124.0,0.309886198770688,0.00922387307964285,0.16245846814325088,0.0146009720581173,0.2681969138181237,0.021819742411094453,0.03756389891017917,0.005509645553189624,positive,positive,positive
instacart,target_basket_size,recency,4124.0,0.2640810434610626,0.01171059656625296,-0.1165817800829078,0.015594530317946156,0.16972629431926547,0.012571224513429806,-0.060906720588679075,0.013368986055768367,positive,negative,negative
instacart,target_basket_size,tifuknn,4124.0,0.29758375475644366,0.00955351477555511,0.11861557353539427,0.00178171893745159,0.252552663553157,0.01905523064746381,0.021919648645212456,0.007243810156644028,positive,positive,positive
instacart,target_basket_size,triple2vec,4124.0,0.18390478699725357,0.08556710215403034,-0.0935520854492397,0.1065463657278573,0.14295233353780112,0.09583578006173857,-0.0876806813701434,0.07048092947170417,positive,mixed,negative
instacart,target_last_jaccard,cbp,4124.0,0.6013560541582942,0.012316748411816002,0.2554750976398254,0.018202881851167654,0.5196350294366435,0.016404696316569073,0.06298224218832642,0.0059869652057492504,positive,positive,positive
instacart,target_last_jaccard,diffrec,4124.0,0.47149334774939944,0.01576745092464765,-0.12094063430463838,0.016127663342521158,0.3857852382421621,0.009618250286868725,-0.0708675490061549,0.00471168833614126,positive,negative,negative
instacart,target_last_jaccard,dnntsp,4124.0,0.5170705208028054,0.015897134208110824,0.007714728394240383,0.009079492967941503,0.4233370016678497,0.012413014528108541,-0.03331578558046739,0.002175360416807534,positive,mixed,negative
instacart,target_last_jaccard,fpmc,4124.0,0.24702472861185965,0.014805782437012477,-0.5381811834829962,0.014430469471907832,0.13066599560870149,0.01248086958138931,-0.3259867916396155,0.007440189304208629,positive,negative,negative
instacart,target_last_jaccard,frequency,4124.0,0.601161715290452,0.0077084235373878485,0.2642894882898565,0.010135814532756334,0.52030629861369,0.010472076067494335,0.06365351136537303,0.0017726967944097032,positive,positive,positive
