dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho,n_valid_keysets,rho_sd,max_deviation_from_mean,replication_status,replicated
tmall,racf,dnntsp,repeat_rate,0.0546018925750255,0.0406413604724423,0.0199411098502182,0.038394787632562,0.038394787632562,0.0199411098502182,0.0546018925750255,0.0346607827248072,+++,True,0.038394787632562,3,0.014239095989978693,0.018453677782343803,positive,True
tmall,racf,dnntsp,transition_predictability,0.0129199185956766,0.022450151445864,-0.0394869665815777,-0.001372298846679,0.0249523455410394,-0.0394869665815777,0.022450151445864,0.0619371180274418,mixed,False,0.001372298846679,3,0.027230525236102122,0.0381146677348987,mixed,False
tmall,racf,sets2sets,adjacent_basket_jaccard,-0.0017906703652383,0.012602823519781,-0.0050394461643244,0.001924235663406,0.0064776466831146,-0.0050394461643244,0.012602823519781,0.0176422696841054,mixed,False,0.001924235663406,3,0.007666499201196507,0.010678587856375,mixed,False
tmall,racf,sets2sets,avg_basket_size,0.0058454765377431,0.0161392162177044,0.0156220832017735,0.0125355919857403,0.0125355919857403,0.0058454765377431,0.0161392162177044,0.0102937396799613,+++,True,0.0125355919857403,3,0.004735334565419841,0.006690115447997201,positive,True
tmall,racf,sets2sets,cooccurrence_support,-0.0186848260892565,-0.0122322701722523,-0.0525907545817734,-0.0278359502810941,0.0278359502810941,-0.0525907545817734,-0.0122322701722523,0.0403584844095211,---,True,0.0278359502810941,3,0.017701395828939884,0.024754804300679296,negative,True
tmall,racf,sets2sets,n_baskets,0.0050953178936216,-0.0055548811881896,-0.0081028088424608,-0.0028541240456762,0.006251002641424,-0.0081028088424608,0.0050953178936216,0.0131981267360824,mixed,False,0.0028541240456762,3,0.0057165376579739165,0.007949441939297799,mixed,False
tmall,racf,sets2sets,neighbor_similarity,-0.0210483217893858,-0.023297313545113,-0.0370465900455274,-0.0271307417933421,0.0271307417933421,-0.0370465900455274,-0.0210483217893858,0.0159982682561416,---,True,0.0271307417933421,3,0.007071422577275731,0.009915848252185298,negative,True
tmall,racf,sets2sets,popularity_profile,-0.020473275518756,-0.0176950449081985,-0.0300499606493375,-0.0227394270254307,0.0227394270254307,-0.0300499606493375,-0.0176950449081985,0.012354915741139,---,True,0.0227394270254307,3,0.005292294255554578,0.007310533623906802,negative,True
tmall,racf,sets2sets,recency_frequency_disagreement,0.00332559786805,-0.0213321219641448,0.0318253566944349,0.00460627753278,0.0188276921755432,-0.0213321219641448,0.0318253566944349,0.0531574786585797,mixed,False,0.00460627753278,3,0.021720335934128317,0.027219079161654898,mixed,False
tmall,racf,sets2sets,recent_basket_novelty,-0.0026298471950201,-0.0153796534177329,-0.012511744815423,-0.0101737484760587,0.0101737484760587,-0.0153796534177329,-0.0026298471950201,0.0127498062227128,---,True,0.0101737484760587,3,0.0054613221745496935,0.007543901281038599,negative,True
tmall,racf,sets2sets,repeat_rate,0.0119907104306732,0.0082141514459983,-0.0104239864715698,0.0032602918017005,0.0102096161160804,-0.0104239864715698,0.0119907104306732,0.0224146969022431,mixed,False,0.0032602918017005,3,0.009798306089537679,0.0136842782732703,mixed,False
tmall,racf,sets2sets,transition_predictability,-0.0059502972530286,0.019144010740142,-0.0323990981976252,-0.0064017949035039,0.0191644687302653,-0.0323990981976252,0.019144010740142,0.0515431089377672,mixed,False,0.0064017949035039,3,0.021044807868591923,0.025997303294121303,mixed,False
tmall,racf,tifuknn,adjacent_basket_jaccard,-0.0065074695025105,-0.0016169199700923,-0.0046982277925782,-0.0042742057550603,0.0042742057550603,-0.0065074695025105,-0.0016169199700923,0.0048905495324181,---,True,0.0042742057550603,3,0.002018946044926176,0.0026572857849680004,negative,True
tmall,racf,tifuknn,avg_basket_size,-0.0187308649913999,-0.0084257798638502,-0.0011459163874668,-0.0094341870809056,0.0094341870809056,-0.0187308649913999,-0.0011459163874668,0.0175849486039331,---,True,0.0094341870809056,3,0.007214349967821046,0.0092966779104943,negative,True
tmall,racf,tifuknn,cooccurrence_support,-0.0302271484884331,-0.0115030398078664,-0.0149780397668752,-0.0189027426877249,0.0189027426877249,-0.0302271484884331,-0.0115030398078664,0.0187241086805666,---,True,0.0189027426877249,3,0.008132262138466882,0.011324405800708197,negative,True
tmall,racf,tifuknn,n_baskets,-0.0282345697102336,-0.0318473305635134,-0.0089723610707702,-0.0230180871148391,0.0230180871148391,-0.0318473305635134,-0.0089723610707702,0.0228749694927431,---,True,0.0230180871148391,3,0.010040744505082732,0.0140457260440689,negative,True
tmall,racf,tifuknn,neighbor_similarity,-0.001473399206801,0.005193189187144,-0.0092824301957284,-0.0018542134051284,0.0053163395298911,-0.0092824301957284,0.005193189187144,0.0144756193828725,mixed,False,0.0018542134051284,3,0.005915778546659976,0.0074282167906,mixed,False
tmall,racf,tifuknn,popularity_profile,-0.0144077792964614,0.0012449724729392,-0.0169547540205752,-0.0100391869480324,0.0108691685966586,-0.0169547540205752,0.0012449724729392,0.0181997264935145,mixed,False,0.0100391869480324,3,0.008046571130601587,0.0112841594209716,mixed,False
tmall,racf,tifuknn,recency_frequency_disagreement,-0.0414543476342629,-0.0285452291544849,0.0133254143491099,-0.0188913874798793,0.0277749970459526,-0.0414543476342629,0.0133254143491099,0.0547797619833728,mixed,False,0.0188913874798793,3,0.023382373347566866,0.0322168018289892,mixed,False
tmall,racf,tifuknn,recent_basket_novelty,-0.0054388898076248,0.0027565815097569,-0.011085682456705,-0.0045893302515243,0.0064270512580289,-0.011085682456705,0.0027565815097569,0.0138422639664619,mixed,False,0.0045893302515243,3,0.0056829206991255024,0.0073459117612812,mixed,False
tmall,racf,tifuknn,repeat_rate,-0.0097135203749706,-0.0131161090077986,-0.0031799149146963,-0.0086698480991552,0.0086698480991552,-0.0131161090077986,-0.0031799149146963,0.0099361940931023,---,True,0.0086698480991552,3,0.004123018888179678,0.0054899331844589,negative,True
tmall,racf,tifuknn,transition_predictability,-0.0092888026676957,-0.0191852468314212,-0.0246739996941487,-0.0177160163977552,0.0177160163977552,-0.0246739996941487,-0.0092888026676957,0.015385197026453,---,True,0.0177160163977552,3,0.0063663202577366644,0.008427213730059502,negative,True
tmall,racf,triple2vec,adjacent_basket_jaccard,-0.0275672863642475,0.0133757200518396,0.0012973572795914,-0.0042980696776054,0.0140801212318928,-0.0275672863642475,0.0133757200518396,0.0409430064160871,mixed,False,0.0042980696776054,3,0.017176806954377594,0.0232692166866421,mixed,False
tmall,racf,triple2vec,avg_basket_size,-0.0186682154970664,0.0004660993383895,-0.0044158537824701,-0.0075393233137156,0.0078500562059753,-0.0186682154970664,0.0004660993383895,0.019134314835456,mixed,False,0.0075393233137156,3,0.008117780792394414,0.011128892183350801,mixed,False
tmall,racf,triple2vec,cooccurrence_support,-0.04572064885375,-0.0022157383010561,-0.0234209390957681,-0.0237857754168581,0.0237857754168581,-0.04572064885375,-0.0022157383010561,0.0435049105526938,---,True,0.0237857754168581,3,0.017762678846490923,0.021934873436891898,negative,True
tmall,racf,triple2vec,n_baskets,-0.0412773551354676,-0.0160877950414163,-0.0147099555940743,-0.0240250352569861,0.0240250352569861,-0.0412773551354676,-0.0147099555940743,0.0265673995413932,---,True,0.0240250352569861,3,0.012212193804493105,0.017252319878481498,negative,True
tmall,racf,triple2vec,neighbor_similarity,-0.0150539917427682,-0.01450439794661,-0.0176673280217349,-0.0157419059037044,0.0157419059037044,-0.0176673280217349,-0.01450439794661,0.0031629300751249,---,True,0.0157419059037044,3,0.0013798432482580011,0.0019254221180305016,negative,True
tmall,racf,triple2vec,popularity_profile,-0.01365945654673,-0.0104722276025992,-0.0146054328514503,-0.0129123723335932,0.0129123723335932,-0.0146054328514503,-0.0104722276025992,0.0041332052488511,---,True,0.0129123723335932,3,0.001768134143369083,0.0024401447309939997,negative,True
tmall,racf,triple2vec,recency_frequency_disagreement,-0.0233809012914109,-0.0126820349116692,0.0107806046792183,-0.0084274438412872,0.0156145136274328,-0.0233809012914109,0.0107806046792183,0.0341615059706292,mixed,False,0.0084274438412872,3,0.014267171675504198,0.019208048520505498,mixed,False
tmall,racf,triple2vec,recent_basket_novelty,0.0125361967386394,-0.0055126297474833,-0.004257160663629,0.000922135442509,0.0074353290499172,-0.0055126297474833,0.0125361967386394,0.0180488264861228,mixed,False,0.000922135442509,3,0.00822836012410061,0.011614061296130402,mixed,False
tmall,racf,triple2vec,repeat_rate,-0.038056146033516,0.0055890144569812,-0.0058467699366426,-0.0127713005043924,0.0164973101423799,-0.038056146033516,0.0055890144569812,0.0436451604904972,mixed,False,0.0127713005043924,3,0.01847857951337334,0.0252848455291236,mixed,False
tmall,racf,triple2vec,transition_predictability,-0.0238025881595193,-0.0307304847767406,-0.0404255214838215,-0.0316528648066938,0.0316528648066938,-0.0404255214838215,-0.0238025881595193,0.0166229333243022,---,True,0.0316528648066938,3,0.006817554144304809,0.008772656677127705,negative,True
tmall,recency,dnntsp,adjacent_basket_jaccard,0.038788162358658,0.0214617541922266,0.0165789257531888,0.0256096141013578,0.0256096141013578,0.0165789257531888,0.038788162358658,0.0222092366054692,+++,True,0.0256096141013578,3,0.00952946672235691,0.0131785482573002,positive,True
tmall,recency,dnntsp,avg_basket_size,0.0169983101561763,0.0132871435601228,-0.0197836316688095,0.0035006073491632,0.0166896951283695,-0.0197836316688095,0.0169983101561763,0.0367819418249858,mixed,False,0.0035006073491632,3,0.01653400595460716,0.0232842390179727,mixed,False
tmall,recency,dnntsp,cooccurrence_support,0.031453853847756,0.0057933604754847,-0.0037882037016221,0.0111530035405395,0.0136784726749543,-0.0037882037016221,0.031453853847756,0.0352420575493781,mixed,False,0.0111530035405395,3,0.014878283624509298,0.0203008503072165,mixed,False
tmall,recency,dnntsp,n_baskets,-0.0238260835889187,-0.0102430624508294,-0.0318869122810535,-0.0219853527736005,0.0219853527736005,-0.0318869122810535,-0.0102430624508294,0.021643849830224,---,True,0.0219853527736005,3,0.008931415577207209,0.011742290322771099,negative,True
tmall,recency,dnntsp,neighbor_similarity,0.0274823968216146,0.0018949845991432,0.0196066873538327,0.0163280229248635,0.0163280229248635,0.0018949845991432,0.0274823968216146,0.0255874122224714,+++,True,0.0163280229248635,3,0.010700191474579965,0.0144330383257203,positive,True
tmall,recency,dnntsp,popularity_profile,0.0249994690039448,0.0115202574068078,0.0193274395677707,0.0186157219928411,0.0186157219928411,0.0115202574068078,0.0249994690039448,0.0134792115971369,+++,True,0.0186157219928411,3,0.00552582981701668,0.007095464586033299,positive,True
tmall,recency,dnntsp,recency_frequency_disagreement,-0.0382294677419365,0.0011235687869904,-0.0420916372617171,-0.0263991787388877,0.0271482245968813,-0.0420916372617171,0.0011235687869904,0.0432152060487075,mixed,False,0.0263991787388877,3,0.019525288079476212,0.027522747525878098,mixed,False
tmall,recency,dnntsp,recent_basket_novelty,-0.0271725249758044,-0.0366756913567746,-0.0218043952545473,-0.0285508705290421,0.0285508705290421,-0.0366756913567746,-0.0218043952545473,0.0148712961022272,---,True,0.0285508705290421,3,0.006148915312916461,0.008124820827732498,negative,True
tmall,recency,dnntsp,repeat_rate,0.0304392109000728,0.0209651763427971,0.0136030244090711,0.0216691372173137,0.0216691372173137,0.0136030244090711,0.0304392109000728,0.0168361864910017,+++,True,0.0216691372173137,3,0.006891345518091738,0.008770073682759099,positive,True
tmall,recency,dnntsp,transition_predictability,0.0133024958358116,0.0372135002100343,-0.0174455554056637,0.011023480213394,0.0226538504838365,-0.0174455554056637,0.0372135002100343,0.054659055615698,mixed,False,0.011023480213394,3,0.022372580306488404,0.028469035619057698,mixed,False
tmall,recency,frequency,adjacent_basket_jaccard,-0.0280997791294265,-0.028739599313891,0.0066537547530759,-0.0167285412300805,0.0211643777321311,-0.028739599313891,0.0066537547530759,0.0353933540669669,mixed,False,0.0167285412300805,3,0.016535843221117418,0.0233822959831564,mixed,False
tmall,recency,frequency,avg_basket_size,0.0080917996314629,0.0007494320982333,0.0193459095078885,0.0093957137458616,0.0093957137458616,0.0007494320982333,0.0193459095078885,0.0185964774096551,+++,True,0.0093957137458616,3,0.007647761634415223,0.0099501957620269,positive,True
tmall,recency,frequency,cooccurrence_support,-0.0076469957535897,-0.0171562193144645,-0.0034505568429065,-0.0094179239703202,0.0094179239703202,-0.0171562193144645,-0.0034505568429065,0.0137056624715579,---,True,0.0094179239703202,3,0.005733726886163869,0.007738295344144299,negative,True
tmall,recency,frequency,n_baskets,-0.0069927794647855,0.0053847818089404,0.0058047166571095,0.0013989063337548,0.0060607593102784,-0.0069927794647855,0.0058047166571095,0.012797496121895,mixed,False,0.0013989063337548,3,0.005936293974371772,0.0083916857985403,mixed,False
tmall,recency,frequency,neighbor_similarity,-0.0036803170162179,-0.0012983216138869,-0.0122734925937616,-0.0057507104079555,0.0057507104079555,-0.0122734925937616,-0.0012983216138869,0.0109751709798747,---,True,0.0057507104079555,3,0.004713702798351764,0.006522782185806099,negative,True
tmall,recency,frequency,popularity_profile,-0.0048241731637599,-0.01074492392779,-0.0113701463731235,-0.0089797478215578,0.0089797478215578,-0.0113701463731235,-0.0048241731637599,0.0065459732093636,---,True,0.0089797478215578,3,0.002949500107807683,0.004155574657797901,negative,True
tmall,recency,frequency,recency_frequency_disagreement,-0.0103059880871995,0.0042750690574878,0.0042380220499411,-0.0005976323265901,0.0062730263982095,-0.0103059880871995,0.0042750690574878,0.0145810571446874,mixed,False,0.0005976323265901,3,0.006864860853220011,0.0097083557606094,mixed,False
tmall,recency,frequency,recent_basket_novelty,-0.0068672287810142,0.006224327065578,0.00184458368988,0.0004005606581479,0.0049787131788241,-0.0068672287810142,0.006224327065578,0.0130915558465923,mixed,False,0.0004005606581479,3,0.005441268878257479,0.0072677894391621,mixed,False
tmall,recency,frequency,repeat_rate,-0.0295462093740846,-0.0290476353056583,-0.0043355895597114,-0.0209764780798181,0.0209764780798181,-0.0295462093740846,-0.0043355895597114,0.0252106198143732,---,True,0.0209764780798181,3,0.011768645407165346,0.0166408885201067,negative,True
tmall,recency,frequency,transition_predictability,-0.0015272807936532,0.0599902150515344,-0.0077949020903385,0.0168893440558475,0.0231041326451754,-0.0077949020903385,0.0599902150515344,0.0677851171418729,mixed,False,0.0168893440558475,3,0.03058414163821718,0.0431008709956869,mixed,False
tmall,recency,racf,adjacent_basket_jaccard,-0.0242753412164846,-0.0256595114492835,-0.0139318471452424,-0.0212888999370035,0.0212888999370035,-0.0256595114492835,-0.0139318471452424,0.0117276643040411,---,True,0.0212888999370035,3,0.005232822765577006,0.007357052791761099,negative,True
tmall,recency,racf,avg_basket_size,-0.0206323787784783,-0.0346443358229641,-0.0209982095304324,-0.025424974710625,0.025424974710625,-0.0346443358229641,-0.0206323787784783,0.0140119570444858,---,True,0.025424974710625,3,0.006520783313097314,0.009219361112339099,negative,True
tmall,recency,racf,cooccurrence_support,0.0169394427815945,-0.0068400208136048,0.0188581193853682,0.0096525137844526,0.0142125276601891,-0.0068400208136048,0.0188581193853682,0.025698140198973,mixed,False,0.0096525137844526,3,0.011688259154055925,0.0164925345980574,mixed,False
tmall,recency,racf,n_baskets,-0.012805071833504,-0.02304445752902,-0.0074914749601223,-0.0144470014408821,0.0144470014408821,-0.02304445752902,-0.0074914749601223,0.0155529825688977,---,True,0.0144470014408821,3,0.006454753613877528,0.0085974560881379,negative,True
tmall,recency,racf,neighbor_similarity,0.0094278245665337,0.0067459512438304,0.014780996354371,0.0103182573882451,0.0103182573882451,0.0067459512438304,0.014780996354371,0.0080350451105405,+++,True,0.0103182573882451,3,0.0033401736920496824,0.004462738966125901,positive,True
tmall,recency,racf,popularity_profile,0.015778316366607,0.0134758840983904,0.0050015268292408,0.0114185757647461,0.0114185757647461,0.0050015268292408,0.015778316366607,0.0107767895373661,+++,True,0.0114185757647461,3,0.004633874287457038,0.0064170489355053,positive,True
tmall,recency,racf,recency_frequency_disagreement,-0.0102124207196706,-0.0096530399097943,-0.0207813341855144,-0.0135489316049931,0.0135489316049931,-0.0207813341855144,-0.0096530399097943,0.0111282942757201,---,True,0.0135489316049931,3,0.005119177149872353,0.007232402580521302,negative,True
tmall,recency,racf,recent_basket_novelty,-0.0036975302087204,0.0058954283900817,0.0214105459260164,0.0078694813691259,0.0103345015082728,-0.0036975302087204,0.0214105459260164,0.0251080761347368,mixed,False,0.0078694813691259,3,0.01034493549746251,0.0135410645568905,mixed,False
tmall,recency,racf,repeat_rate,-0.0371657073078533,-0.0356225509678282,-0.0142168601084207,-0.0290017061280341,0.0290017061280341,-0.0371657073078533,-0.0142168601084207,0.0229488471994326,---,True,0.0290017061280341,3,0.010473429452355385,0.014784846019613399,negative,True
tmall,recency,racf,transition_predictability,0.0142679283184161,0.0336359213514105,0.0098971216030977,0.0192669904243081,0.0192669904243081,0.0098971216030977,0.0336359213514105,0.0237387997483128,+++,True,0.0192669904243081,3,0.010315865445243325,0.014368930927102397,positive,True
tmall,recency,sets2sets,adjacent_basket_jaccard,-0.0230540852812761,-0.0214048793836381,0.0004972822864359,-0.0146538941261594,0.01498541565045,-0.0230540852812761,0.0004972822864359,0.0235513675677121,mixed,False,0.0146538941261594,3,0.010734634911891194,0.015151176412595299,mixed,False
tmall,recency,sets2sets,avg_basket_size,-0.0077104816311808,-0.0137932858484242,0.0109829949244054,-0.0035069241850665,0.0108289208013368,-0.0137932858484242,0.0109829949244054,0.0247762807728296,mixed,False,0.0035069241850665,3,0.010542562738272209,0.0144899191094719,mixed,False
tmall,recency,sets2sets,cooccurrence_support,-0.0112021532100246,-0.0181546752346458,-0.0039875108306584,-0.011114779758443,0.011114779758443,-0.0181546752346458,-0.0039875108306584,0.0141671644039874,---,True,0.011114779758443,3,0.005784050622325321,0.007127268927784599,negative,True
tmall,recency,sets2sets,n_baskets,-0.0198296360682855,-0.0246775289825882,-0.0041340103832482,-0.0162137251447073,0.0162137251447073,-0.0246775289825882,-0.0041340103832482,0.0205435185993399,---,True,0.0162137251447073,3,0.008767939627445596,0.012079714761459099,negative,True
tmall,recency,sets2sets,neighbor_similarity,-0.0037798300216835,-0.0017737924070868,-0.0183249433422263,-0.0079595219236655,0.0079595219236655,-0.0183249433422263,-0.0017737924070868,0.0165511509351394,---,True,0.0079595219236655,3,0.007375071417329368,0.010365421418560799,negative,True
tmall,recency,sets2sets,popularity_profile,0.0040429651435844,0.0035195766412584,-0.0142036504488903,-0.0022137028880157,0.0072553974112444,-0.0142036504488903,0.0040429651435844,0.0182466155924748,mixed,False,0.0022137028880157,3,0.008480865355433232,0.0119899475608746,mixed,False
