dataset,keyset,method_a,method_b,mean_delta,median_delta,p10_delta,p90_delta,a_better_share,b_better_share,tie_share,two_sided_share
sam,2,fpmc,diffrec,-0.06611025798925363,0.0,-0.4414924137367807,0.0,0.07504078303425775,0.27814029363784665,0.6468189233278956,0.07504078303425775
sam,2,triple2vec,sets2sets,0.004402563444977505,0.0,-0.1312050775123417,0.1460683498427064,0.1710168569874932,0.1473626971179989,0.6816204458945079,0.1473626971179989
sam,2,triple2vec,dnntsp,0.10602265146831913,0.0,-0.0827811872221858,0.5087403079104241,0.344752582925503,0.12098966829798803,0.534257748776509,0.12098966829798803
sam,2,triple2vec,cbp,-0.004276654464930449,0.0,-0.06791791489182111,0.032192530374489894,0.11827079934747145,0.13811854268624252,0.743610657966286,0.11827079934747145
sam,2,triple2vec,diffrec,0.1530949070459029,0.0,-0.02495365913130182,0.6843515475204854,0.378194671016857,0.1068515497553018,0.5149537792278412,0.1068515497553018
sam,2,sets2sets,dnntsp,0.10162008802334165,0.0,-0.10769332471824017,0.47036528278595785,0.33849918433931486,0.1245241979336596,0.5369766177270255,0.1245241979336596
sam,2,sets2sets,cbp,-0.008679217909907952,0.0,-0.169580102636808,0.1312050775123417,0.14138118542686243,0.17536704730831973,0.6832517672648178,0.14138118542686243
sam,2,sets2sets,diffrec,0.1486923436009254,0.0,-0.0839865056799166,0.6366824387328316,0.377379010331702,0.11963023382272975,0.5029907558455683,0.11963023382272975
sam,2,dnntsp,cbp,-0.11029930593324958,0.0,-0.5087403079104241,0.06791791489182111,0.11364872213159326,0.3477433387710712,0.5386079390973355,0.11364872213159326
sam,2,dnntsp,diffrec,0.04707225557758378,0.0,-0.2960819109658651,0.4692787260227564,0.25666122892876564,0.20826536160957043,0.5350734094616639,0.20826536160957043
sam,2,cbp,diffrec,0.15737156151083337,0.0,0.0,0.6366824387328316,0.37792278412180536,0.0929853181076672,0.5290918977705275,0.0929853181076672
tafeng,0,recency,frequency,-0.026323814384090826,0.0,-0.1547168303064434,0.0,0.06972747360667812,0.13552663884114902,0.7947458875521728,0.06972747360667812
tafeng,0,recency,racf,-0.027795157747051148,0.0,-0.169580102636808,0.0,0.08715934200834766,0.15737785416155167,0.7554628038301007,0.08715934200834766
tafeng,0,recency,tifuknn,-0.01485650873152317,0.0,-0.0444061620977195,0.0,0.06997299287994108,0.11416646206727228,0.8158605450527866,0.06997299287994108
tafeng,0,recency,fpmc,-0.004889183487790608,0.0,-0.2139862647345275,0.2139862647345275,0.17480972256322122,0.1401915050331451,0.6849987724036337,0.1401915050331451
tafeng,0,recency,triple2vec,-0.01997261424110585,0.0,-0.169580102636808,0.0444061620977195,0.1095015958752762,0.15222194942302972,0.7382764547016941,0.1095015958752762
tafeng,0,recency,sets2sets,-0.024680912282878678,0.0,-0.2346393630113782,0.1460683498427064,0.14559292904493001,0.16965381782469924,0.6847532531303707,0.14559292904493001
tafeng,0,recency,dnntsp,-0.027566422960810077,0.0,-0.2463023887407299,0.1681275362711174,0.14559292904493001,0.17972010802848024,0.6746869629265897,0.14559292904493001
