dataset,method_a,method_b,mean_delta,mean_decisive_rate,mean_conditional_a_win_rate,mean_tie_rate
valuedshopper,fpmc,cbp,-0.12391447014647931,0.65127132281944,0.2473793177506299,0.34872867718056
valuedshopper,fpmc,diffrec,-0.10607156857797344,0.6037442334513464,0.23200167530500435,0.39625576654865363
valuedshopper,fpmc,dnntsp,-0.10689111069463131,0.6209097736294389,0.25974814365193377,0.3790902263705611
valuedshopper,fpmc,sets2sets,-0.04523781522483611,0.5922647784572471,0.383443940185857,0.40773522154275293
valuedshopper,fpmc,triple2vec,-0.13311615523865852,0.6583521081429031,0.24439621449188997,0.3416478918570969
valuedshopper,frequency,cbp,-0.002212805160984868,0.19804741980474197,0.45137424493502865,0.8019525801952581
valuedshopper,frequency,diffrec,0.015630096407521006,0.5147516360905482,0.5645593150614987,0.48524836390945175
valuedshopper,frequency,dnntsp,0.014810554290863127,0.5817508850981654,0.542547742163591,0.4182491149018346
valuedshopper,frequency,fpmc,0.12170166498549444,0.6473554339663127,0.7493767530666525,0.3526445660336874
valuedshopper,frequency,racf,-0.001967972254398958,0.18984014590709153,0.4593820723960366,0.8101598540929085
valuedshopper,frequency,sets2sets,0.07646384976065833,0.6365196867288917,0.6769965911302487,0.36348031327110825
valuedshopper,frequency,tifuknn,-0.016698862688599794,0.46824375067052887,0.425974123283347,0.5317562493294711
valuedshopper,frequency,triple2vec,-0.011414490253164072,0.4238815577727712,0.4328777343800265,0.5761184422272289
valuedshopper,racf,cbp,-0.00024483290658590986,0.24434073597253514,0.496683653097836,0.7556592640274649
valuedshopper,racf,diffrec,0.017598068661919965,0.5144834245252655,0.5731207302619127,0.4855165754747344
valuedshopper,racf,dnntsp,0.016778526545262084,0.5841111468726532,0.5488035859836934,0.41588885312734686
valuedshopper,racf,fpmc,0.1236696372398934,0.6508421843149876,0.7553259602682306,0.34915781568501236
valuedshopper,racf,sets2sets,0.07843182201505729,0.637538890676966,0.6822881374785732,0.36246110932303405
valuedshopper,racf,tifuknn,-0.014730890434200833,0.4689411007402639,0.4336790029806367,0.5310588992597362
valuedshopper,racf,triple2vec,-0.009446517998765114,0.42967492758287734,0.4450237624531029,0.5703250724171226
valuedshopper,recency,cbp,-0.125779549270798,0.6374316060508529,0.21143070183206536,0.3625683939491471
valuedshopper,recency,diffrec,-0.10793664770229211,0.6242892393520009,0.2368992608471839,0.3757107606479992
valuedshopper,recency,dnntsp,-0.10875618981895001,0.6379680291814184,0.26002770209653625,0.3620319708185817
valuedshopper,recency,fpmc,-0.0018650791243186862,0.5712906340521403,0.4976723828822431,0.42870936594785963
valuedshopper,recency,frequency,-0.12356674410981312,0.6335157171977256,0.21233691806109625,0.36648428280227446
valuedshopper,recency,racf,-0.1255347163642121,0.6372706791116833,0.212784577204149,0.36272932088831666
valuedshopper,recency,sets2sets,-0.047102894349154795,0.6070700568608518,0.380395695912501,0.39292994313914814
valuedshopper,recency,tifuknn,-0.14026560679841293,0.6309945284840682,0.17721950574138734,0.3690054715159317
valuedshopper,recency,triple2vec,-0.13498123436297718,0.6433322604870723,0.2042478754090744,0.3566677395129278
valuedshopper,sets2sets,cbp,-0.07867665492164319,0.6378071022422487,0.3181153206332185,0.3621928977577513
valuedshopper,sets2sets,diffrec,-0.06083375335313732,0.6167256732110289,0.34900416738350676,0.3832743267889711
valuedshopper,sets2sets,dnntsp,-0.0616532954697952,0.6004720523548975,0.3265984740822535,0.3995279476451025
valuedshopper,tifuknn,cbp,0.014486057527614922,0.4666344812788328,0.5695633350220408,0.5333655187211672
valuedshopper,tifuknn,diffrec,0.032328959096120796,0.5641562064156206,0.6077188593297272,0.43584379358437936
valuedshopper,tifuknn,dnntsp,0.03150941697946291,0.5653363373028645,0.5974967602798787,0.43466366269713547
valuedshopper,tifuknn,fpmc,0.13840052767409425,0.644405106748203,0.778137562717979,0.355594893251797
valuedshopper,tifuknn,sets2sets,0.09316271244925811,0.6199978543074777,0.7269051599378954,0.3800021456925222
valuedshopper,tifuknn,triple2vec,0.005284372435435718,0.4151378607445553,0.5200890313152992,0.5848621392554447
valuedshopper,triple2vec,cbp,0.009201685092179205,0.42495440403390194,0.5583604896613246,0.575045595966098
valuedshopper,triple2vec,diffrec,0.027044586660685075,0.5683403068340307,0.5894969969701905,0.4316596931659693
valuedshopper,triple2vec,dnntsp,0.026225044544027198,0.5735972535135715,0.5754328585504201,0.42640274648642845
valuedshopper,triple2vec,sets2sets,0.08787834001382239,0.6285269820834675,0.7085555847292507,0.3714730179165326
