dataset,keyset,feature,bin,method,n_users,feature_min,feature_median,feature_max,mean_ndcg,mean_centered_ndcg
dunnhumby,0,repeat_rate,4,cbp,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.3170725953320862,0.04644932394950403
dunnhumby,0,repeat_rate,4,diffrec,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.2960632828000535,0.025440011417471407
dunnhumby,0,repeat_rate,5,recency,885,0.3928571428571429,0.46875,0.875,0.2943130451348051,-0.08689500135293467
dunnhumby,0,repeat_rate,5,frequency,885,0.3928571428571429,0.46875,0.875,0.4354983350097864,0.054290288522046634
dunnhumby,0,repeat_rate,5,tifuknn,885,0.3928571428571429,0.46875,0.875,0.4369087476141012,0.055700701126361336
dunnhumby,0,repeat_rate,5,fpmc,885,0.3928571428571429,0.46875,0.875,0.21742074043308868,-0.1637873060546511
dunnhumby,0,repeat_rate,5,triple2vec,885,0.3928571428571429,0.46875,0.875,0.4306151157025821,0.04940706921484233
dunnhumby,0,repeat_rate,5,dnntsp,885,0.3928571428571429,0.46875,0.875,0.38016383783443175,-0.0010442086533080286
dunnhumby,0,repeat_rate,5,cbp,885,0.3928571428571429,0.46875,0.875,0.43606313624021487,0.054855089752475016
dunnhumby,0,repeat_rate,5,diffrec,885,0.3928571428571429,0.46875,0.875,0.41868141393290836,0.037473367445168555
dunnhumby,0,adjacent_basket_jaccard,1,recency,927,0.0,0.0,0.0,0.09239788109076623,-0.018362165802901877
dunnhumby,0,adjacent_basket_jaccard,1,frequency,927,0.0,0.0,0.0,0.12370992794932767,0.012949881055659565
dunnhumby,0,adjacent_basket_jaccard,1,tifuknn,927,0.0,0.0,0.0,0.11900091829615707,0.008240871402488961
dunnhumby,0,adjacent_basket_jaccard,1,fpmc,927,0.0,0.0,0.0,0.07922282744026347,-0.03153721945340463
dunnhumby,0,adjacent_basket_jaccard,1,triple2vec,927,0.0,0.0,0.0,0.11593435570882313,0.005174308815155036
dunnhumby,0,adjacent_basket_jaccard,1,dnntsp,927,0.0,0.0,0.0,0.11268071614688137,0.001920669253213275
dunnhumby,0,adjacent_basket_jaccard,1,cbp,927,0.0,0.0,0.0,0.1240326378498535,0.013272590956185387
dunnhumby,0,adjacent_basket_jaccard,1,diffrec,927,0.0,0.0,0.0,0.11910111066727239,0.008341063773604293
dunnhumby,0,adjacent_basket_jaccard,2,recency,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.09708902595460393,-0.060644202324447616
dunnhumby,0,adjacent_basket_jaccard,2,frequency,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.18444673659436406,0.026713508315312526
dunnhumby,0,adjacent_basket_jaccard,2,tifuknn,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.17205181708729753,0.014318588808245988
dunnhumby,0,adjacent_basket_jaccard,2,fpmc,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.10032672964811855,-0.05740649863093297
dunnhumby,0,adjacent_basket_jaccard,2,triple2vec,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.17646158211987648,0.01872835384082492
dunnhumby,0,adjacent_basket_jaccard,2,dnntsp,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.16691094186130132,0.009177713582249775
dunnhumby,0,adjacent_basket_jaccard,2,cbp,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.18473240736094096,0.026999179081889438
dunnhumby,0,adjacent_basket_jaccard,2,diffrec,878,0.0010449320794148,0.0192756702052732,0.0331550802139037,0.17984658560590946,0.02211335732685796
dunnhumby,0,adjacent_basket_jaccard,3,recency,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.14068080248848386,-0.0741877847777478
dunnhumby,0,adjacent_basket_jaccard,3,frequency,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.24658962991980382,0.03172104265357215
dunnhumby,0,adjacent_basket_jaccard,3,tifuknn,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.24982416240804178,0.03495557514181011
dunnhumby,0,adjacent_basket_jaccard,3,fpmc,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.12919945770848262,-0.08566912955774902
dunnhumby,0,adjacent_basket_jaccard,3,triple2vec,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.24358818600667012,0.028719598740438446
dunnhumby,0,adjacent_basket_jaccard,3,dnntsp,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.22856129821728458,0.013692710951052903
dunnhumby,0,adjacent_basket_jaccard,3,cbp,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.24727533436125176,0.03240674709502006
dunnhumby,0,adjacent_basket_jaccard,3,diffrec,921,0.033182503770739,0.0476190476190476,0.0625081988718352,0.23322982701983483,0.018361239753603164
dunnhumby,0,adjacent_basket_jaccard,4,recency,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.19573922945601066,-0.07335715464672607
dunnhumby,0,adjacent_basket_jaccard,4,frequency,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.31157099925236764,0.04247461514963088
dunnhumby,0,adjacent_basket_jaccard,4,tifuknn,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.31231227920753024,0.04321589510479348
dunnhumby,0,adjacent_basket_jaccard,4,fpmc,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.1581678498488398,-0.11092853425389697
dunnhumby,0,adjacent_basket_jaccard,4,triple2vec,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.29682942382438166,0.027733039721644925
dunnhumby,0,adjacent_basket_jaccard,4,dnntsp,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.27245946671717375,0.0033630826144369773
dunnhumby,0,adjacent_basket_jaccard,4,cbp,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.31135546661377284,0.04225908251103613
dunnhumby,0,adjacent_basket_jaccard,4,diffrec,889,0.0625827806278934,0.0856164668664668,0.1187723095617832,0.29433635790181745,0.025239973799080703
dunnhumby,0,adjacent_basket_jaccard,5,recency,889,0.1193871096825827,0.1818181818181818,1.0,0.344493777720174,-0.06255882708991257
dunnhumby,0,adjacent_basket_jaccard,5,frequency,889,0.1193871096825827,0.1818181818181818,1.0,0.46199851892577304,0.05494591411568652
dunnhumby,0,adjacent_basket_jaccard,5,tifuknn,889,0.1193871096825827,0.1818181818181818,1.0,0.4667243962824676,0.05967179147238101
dunnhumby,0,adjacent_basket_jaccard,5,fpmc,889,0.1193871096825827,0.1818181818181818,1.0,0.2313780879106705,-0.17567451689941604
dunnhumby,0,adjacent_basket_jaccard,5,triple2vec,889,0.1193871096825827,0.1818181818181818,1.0,0.45174903886966755,0.04469643405958104
dunnhumby,0,adjacent_basket_jaccard,5,dnntsp,889,0.1193871096825827,0.1818181818181818,1.0,0.39179405659433275,-0.015258548215753788
dunnhumby,0,adjacent_basket_jaccard,5,cbp,889,0.1193871096825827,0.1818181818181818,1.0,0.46504052632672593,0.05798792151663935
dunnhumby,0,adjacent_basket_jaccard,5,diffrec,889,0.1193871096825827,0.1818181818181818,1.0,0.44324243585088113,0.036189831040794554
dunnhumby,0,recent_basket_novelty,1,recency,812,0.0,0.0,0.3235294117647059,0.25584460509162477,-0.046865902167561466
dunnhumby,0,recent_basket_novelty,1,frequency,812,0.0,0.0,0.3235294117647059,0.3455739369452063,0.04286342968602
dunnhumby,0,recent_basket_novelty,1,tifuknn,812,0.0,0.0,0.3235294117647059,0.34117429197251603,0.03846378471332985
dunnhumby,0,recent_basket_novelty,1,fpmc,812,0.0,0.0,0.3235294117647059,0.18210381267414577,-0.12060669458504043
dunnhumby,0,recent_basket_novelty,1,triple2vec,812,0.0,0.0,0.3235294117647059,0.33482540831842894,0.03211490105924275
dunnhumby,0,recent_basket_novelty,1,dnntsp,812,0.0,0.0,0.3235294117647059,0.2932773590294303,-0.009433148229755906
dunnhumby,0,recent_basket_novelty,1,cbp,812,0.0,0.0,0.3235294117647059,0.34549451463471875,0.042784007375532535
dunnhumby,0,recent_basket_novelty,1,diffrec,812,0.0,0.0,0.3235294117647059,0.3233901294074189,0.02067962214823272
dunnhumby,0,recent_basket_novelty,2,recency,1029,0.3333333333333333,0.4666666666666667,0.5,0.23239163848990207,-0.06509658148517641
dunnhumby,0,recent_basket_novelty,2,frequency,1029,0.3333333333333333,0.4666666666666667,0.5,0.3359004527919971,0.038412232816918634
dunnhumby,0,recent_basket_novelty,2,tifuknn,1029,0.3333333333333333,0.4666666666666667,0.5,0.33892179320789406,0.041433573232815615
dunnhumby,0,recent_basket_novelty,2,fpmc,1029,0.3333333333333333,0.4666666666666667,0.5,0.17356990088971286,-0.12391831908536562
dunnhumby,0,recent_basket_novelty,2,triple2vec,1029,0.3333333333333333,0.4666666666666667,0.5,0.33518426922834116,0.03769604925326266
dunnhumby,0,recent_basket_novelty,2,dnntsp,1029,0.3333333333333333,0.4666666666666667,0.5,0.3003958719979325,0.002907652022853996
dunnhumby,0,recent_basket_novelty,2,cbp,1029,0.3333333333333333,0.4666666666666667,0.5,0.3404847704619743,0.042996550486895845
