dataset,keyset,method_a,method_b,feature,n,rho,p_value
dunnhumby,0,frequency,triple2vec,repeat_rate,4504,-0.007866550191043117,0.5976379211505531
dunnhumby,0,frequency,triple2vec,adjacent_basket_jaccard,4504,0.02671312020984643,0.07303865233118192
dunnhumby,0,frequency,triple2vec,recency_frequency_disagreement,4504,0.0236642715393353,0.11230115072735788
dunnhumby,0,frequency,triple2vec,recent_basket_novelty,4504,-0.010079333586673142,0.49886789555155076
dunnhumby,0,frequency,triple2vec,popularity_profile,4504,-0.011950613542349504,0.4226491262624913
dunnhumby,0,frequency,triple2vec,neighbor_similarity,4504,-0.006449632652856423,0.6652101217261857
dunnhumby,0,frequency,triple2vec,cooccurrence_support,4467,0.020846014432296764,0.16361443329063077
dunnhumby,0,frequency,triple2vec,transition_predictability,4503,-0.006267879206481563,0.6741278186529134
dunnhumby,0,frequency,sets2sets,n_baskets,4504,0.1017591625145596,7.640959987207024e-12
dunnhumby,0,frequency,sets2sets,avg_basket_size,4504,0.15914420498587237,6.1854892822197026e-27
dunnhumby,0,frequency,sets2sets,repeat_rate,4504,0.25975567367460856,2.3289509761008532e-70
dunnhumby,0,frequency,sets2sets,adjacent_basket_jaccard,4504,0.239479429824896,9.054707297000723e-60
dunnhumby,0,frequency,sets2sets,recency_frequency_disagreement,4504,0.06350261284676999,1.9999220725520543e-05
dunnhumby,0,frequency,sets2sets,recent_basket_novelty,4504,-0.1672142895294565,1.3335818262905614e-29
dunnhumby,0,frequency,sets2sets,popularity_profile,4504,0.029650467084668137,0.04661487471053911
dunnhumby,0,frequency,sets2sets,neighbor_similarity,4504,0.036787173663384784,0.013548911095320953
dunnhumby,0,frequency,sets2sets,cooccurrence_support,4467,0.02041653733967063,0.1724693222587401
dunnhumby,0,frequency,sets2sets,transition_predictability,4503,0.012320154415863682,0.40849876426392595
dunnhumby,0,frequency,dnntsp,n_baskets,4504,0.006338754293228284,0.6706240420784839
dunnhumby,0,frequency,dnntsp,avg_basket_size,4504,-0.00799990099055325,0.5914419045975169
dunnhumby,0,frequency,dnntsp,repeat_rate,4504,0.07177338524991707,1.4232092038273964e-06
dunnhumby,0,frequency,dnntsp,adjacent_basket_jaccard,4504,0.10400887633926136,2.6098949092097828e-12
dunnhumby,0,frequency,dnntsp,recency_frequency_disagreement,4504,-0.01609936756708944,0.280040486576517
dunnhumby,0,frequency,dnntsp,recent_basket_novelty,4504,-0.05512733751848456,0.0002143410764212215
dunnhumby,0,frequency,dnntsp,popularity_profile,4504,-0.009954180471315728,0.5042136710518139
dunnhumby,0,frequency,dnntsp,neighbor_similarity,4504,0.014580743710942364,0.3279155711393381
dunnhumby,0,frequency,dnntsp,cooccurrence_support,4467,-0.02242016149082908,0.13407238291753434
dunnhumby,0,frequency,dnntsp,transition_predictability,4503,-0.0027213539478328184,0.855139778127426
dunnhumby,0,frequency,cbp,n_baskets,4504,0.013068958113795255,0.3805540406952883
dunnhumby,0,frequency,cbp,avg_basket_size,4504,-0.00977947989361206,0.5117260240498966
dunnhumby,0,frequency,cbp,repeat_rate,4504,-0.009025550080834633,0.5448032906431013
dunnhumby,0,frequency,cbp,adjacent_basket_jaccard,4504,-0.026286791739336447,0.07773698567965896
dunnhumby,0,frequency,cbp,recency_frequency_disagreement,4504,0.0015901565601971262,0.9150358763769925
dunnhumby,0,frequency,cbp,recent_basket_novelty,4504,0.00720399104956461,0.6288506370817261
dunnhumby,0,frequency,cbp,popularity_profile,4504,-0.003056529555171488,0.8375151803586178
dunnhumby,0,frequency,cbp,neighbor_similarity,4504,0.008739416364827146,0.5576290684612959
dunnhumby,0,frequency,cbp,cooccurrence_support,4467,0.010248536196184042,0.4934742083774082
dunnhumby,0,frequency,cbp,transition_predictability,4503,0.0036172321500253144,0.8082644705033977
dunnhumby,0,frequency,diffrec,n_baskets,4504,0.007012011386016864,0.6380234069713709
dunnhumby,0,frequency,diffrec,avg_basket_size,4504,0.04182184834774689,0.004997566720090539
dunnhumby,0,frequency,diffrec,repeat_rate,4504,0.04311483024581942,0.0038029738322363817
dunnhumby,0,frequency,diffrec,adjacent_basket_jaccard,4504,0.034947749849635654,0.019002931489874482
dunnhumby,0,frequency,diffrec,recency_frequency_disagreement,4504,0.021199674015187655,0.1548770255644457
dunnhumby,0,frequency,diffrec,recent_basket_novelty,4504,-0.034117570086127744,0.02203731237293831
dunnhumby,0,frequency,diffrec,popularity_profile,4504,-0.046049617755315034,0.0019931108726322414
dunnhumby,0,frequency,diffrec,neighbor_similarity,4504,-0.016965196599855365,0.25498205774429167
dunnhumby,0,frequency,diffrec,cooccurrence_support,4467,-0.020016824422328532,0.1810280243849583
dunnhumby,0,frequency,diffrec,transition_predictability,4503,-0.01668888421207582,0.26285673522579606
dunnhumby,0,racf,tifuknn,n_baskets,4504,0.024532134509590155,0.09972514155899992
dunnhumby,0,racf,tifuknn,avg_basket_size,4504,-0.03428019189139875,0.02141173047716753
dunnhumby,0,racf,tifuknn,repeat_rate,4504,-0.008337606448617533,0.575884273662182
