dataset,keyset,method,analysis_type,mechanism,category,n_items,hit_rate_at5,mean_ndcg_contribution,rho_hit,rho_ndcg,low_to_high_hit,low_to_high_ndcg
sam,0,triple2vec,continuous,relational_support,,15490,0.22143318269851517,0.07927488180063123,0.24841551392769495,0.23705721431609672,0.3040137623831769,0.035754184569189204
sam,0,dnntsp,target_class,target_class,last_basket_repeat,2722,0.4981631153563556,0.19000345329633953,,,,
sam,0,dnntsp,target_class,target_class,novel,9020,0.00011086474501108647,5.2026466299640407e-05,,,,
sam,0,dnntsp,target_class,target_class,older_repeat,3748,0.29855923159018144,0.07148750660785416,,,,
sam,0,dnntsp,continuous,personal_frequency,,15490,0.15984506132989026,0.05071619453614567,0.6090820627777773,0.5523318056697919,0.5797992764616642,0.20884508816082692
sam,0,dnntsp,continuous,personal_recency_score,,15490,0.15984506132989026,0.05071619453614567,0.5562247763463058,0.49982818212344654,0.4980522506113445,0.18995142683003988
sam,0,dnntsp,continuous,global_popularity,,15490,0.15984506132989026,0.05071619453614567,0.10410564735719174,0.10002990740558412,0.12117533025344208,0.02276719399721136
sam,0,dnntsp,continuous,neighbor_support,,15490,0.15984506132989026,0.05071619453614567,0.489443172591435,0.43165392362013943,0.48141409642445143,0.16230396083217685
sam,0,dnntsp,continuous,transition_support,,15490,0.15984506132989026,0.05071619453614567,0.20287863481010943,0.1846384518525589,0.22038372803169967,0.035720480841002475
sam,0,dnntsp,continuous,relational_support,,15490,0.15984506132989026,0.05071619453614567,0.19059487192882751,0.19690155601108833,0.20141005636326392,0.023332294024455587
sam,0,cbp,target_class,target_class,last_basket_repeat,2722,0.7545922116091109,0.33032863560652304,,,,
sam,0,cbp,target_class,target_class,novel,9020,0.0004434589800443459,4.528586528463304e-05,,,,
sam,0,cbp,target_class,target_class,older_repeat,3748,0.3796691568836713,0.09135150278168389,,,,
sam,0,cbp,continuous,personal_frequency,,15490,0.2247256294383473,0.08017743428351028,0.761150213981365,0.7298118428636379,0.8500058349865794,0.3530453230887931
sam,0,cbp,continuous,personal_recency_score,,15490,0.2247256294383473,0.08017743428351028,0.7076884855827997,0.6681817212340192,0.7541487526290666,0.33028334974123846
sam,0,cbp,continuous,global_popularity,,15490,0.2247256294383473,0.08017743428351028,0.16314254756488217,0.15995944205997903,0.20683569172322996,0.04548412498990704
sam,0,cbp,continuous,neighbor_support,,15490,0.2247256294383473,0.08017743428351028,0.6426260812013751,0.612323515447537,0.7274587894841047,0.27843535709881745
sam,0,cbp,continuous,transition_support,,15490,0.2247256294383473,0.08017743428351028,0.2971949769228117,0.25795689198749727,0.35540757919387933,0.055723510089339165
sam,0,cbp,continuous,relational_support,,15490,0.2247256294383473,0.08017743428351028,0.2546115928818412,0.2389951378773787,0.3117222618210184,0.035308008732979165
sam,0,diffrec,target_class,target_class,last_basket_repeat,2722,0.41072740631888316,0.1505238434845229,,,,
sam,0,diffrec,target_class,target_class,novel,9020,0.007095343680709534,0.0011243432594780375,,,,
sam,0,diffrec,target_class,target_class,older_repeat,3748,0.21771611526147278,0.05765998463132693,,,,
sam,0,diffrec,continuous,personal_frequency,,15490,0.1289864428663654,0.04105726924232257,0.5039297274245569,0.48085078886820043,0.44380324425253825,0.16061132328979508
sam,0,diffrec,continuous,personal_recency_score,,15490,0.1289864428663654,0.04105726924232257,0.47163355952745445,0.4476695519412297,0.40363206263817364,0.1493995002250449
sam,0,diffrec,continuous,global_popularity,,15490,0.1289864428663654,0.04105726924232257,0.39115062332688455,0.38460591297548613,0.3660284204828539,0.11916917907947212
sam,0,diffrec,continuous,neighbor_support,,15490,0.1289864428663654,0.04105726924232257,0.5728792349418995,0.5421903515932135,0.5497049159287579,0.19185957394691278
sam,0,diffrec,continuous,transition_support,,15490,0.1289864428663654,0.04105726924232257,0.32232299642324524,0.30730387049730357,0.29489958385990306,0.06742299601622195
sam,0,diffrec,continuous,relational_support,,15490,0.1289864428663654,0.04105726924232257,0.26550737899570553,0.2708199620892616,0.2456454032688538,0.04869027299203516
sam,1,recency,target_class,target_class,last_basket_repeat,2549,0.839152608866222,0.3483892140281061,,,,
sam,1,recency,target_class,target_class,novel,8919,0.0,0.0,,,,
sam,1,recency,target_class,target_class,older_repeat,3855,0.1463035019455253,0.012253395762404256,,,,
sam,1,recency,continuous,personal_frequency,,15323,0.1764014879592769,0.06103771762851339,0.6553338470290516,0.5968568455470393,0.6621392190152802,0.26599510363667356
sam,1,recency,continuous,personal_recency_score,,15323,0.1764014879592769,0.06103771762851339,0.6928332544762718,0.6430024609067208,0.839152608866222,0.348389214028106
sam,1,recency,continuous,global_popularity,,15323,0.1764014879592769,0.06103771762851339,0.13765605734545594,0.15163248413846608,0.14924549986744098,0.038916826578364865
sam,1,recency,continuous,neighbor_support,,15323,0.1764014879592769,0.06103771762851339,0.5517392838269013,0.5062523316671813,0.581959600250446,0.22211052607125994
sam,1,recency,continuous,transition_support,,15323,0.1764014879592769,0.06103771762851339,0.21990705235743713,0.1824889722460762,0.24144825003421613,0.02620993302387624
sam,1,recency,continuous,relational_support,,15323,0.1764014879592769,0.06103771762851339,0.1523924937342334,0.1584909199158236,0.17214602734391052,0.008088367294833004
sam,1,frequency,target_class,target_class,last_basket_repeat,2549,0.7646135739505688,0.3401637335653392,,,,
sam,1,frequency,target_class,target_class,novel,8919,0.0,0.0,,,,
sam,1,frequency,target_class,target_class,older_repeat,3855,0.3714656290531777,0.09245481682270416,,,,
sam,1,frequency,continuous,personal_frequency,,15323,0.2206486980356327,0.07984667987401776,0.7602610780904129,0.7275733664062322,0.863497453310696,0.3672686422727208
sam,1,frequency,continuous,personal_recency_score,,15323,0.2206486980356327,0.07984667987401776,0.7074589526103258,0.6683885164437587,0.7646135739505688,0.3401637335653392
sam,1,frequency,continuous,global_popularity,,15323,0.2206486980356327,0.07984667987401776,0.19329915043312132,0.20002751935453392,0.23107769519980204,0.061584981470682074
sam,1,frequency,continuous,neighbor_support,,15323,0.2206486980356327,0.07984667987401776,0.6587006903324835,0.6392449844564461,0.7608123806389065,0.3090168476386863
sam,1,frequency,continuous,transition_support,,15323,0.2206486980356327,0.07984667987401776,0.30269686479854757,0.262220181958897,0.3440673757162144,0.06087296969594676
sam,1,frequency,continuous,relational_support,,15323,0.2206486980356327,0.07984667987401776,0.24387294445971025,0.23165388408573737,0.2938252838525927,0.033550254533075974
sam,1,tifuknn,target_class,target_class,last_basket_repeat,2549,0.8277755982738328,0.3685377353125138,,,,
sam,1,tifuknn,target_class,target_class,novel,8919,0.0007848413499271219,0.0,,,,
sam,1,tifuknn,target_class,target_class,older_repeat,3855,0.3022049286640726,0.06692505026511997,,,,
sam,1,tifuknn,continuous,personal_frequency,,15323,0.21418782222802324,0.07814388540648927,0.7466945220963934,0.7156599758152586,0.8443764489726536,0.3632812520660055
sam,1,tifuknn,continuous,personal_recency_score,,15323,0.21418782222802324,0.07814388540648927,0.7215957858658004,0.6848713255398023,0.8269907569239058,0.36853773531251377
sam,1,tifuknn,continuous,global_popularity,,15323,0.21418782222802324,0.07814388540648927,0.14278828826929477,0.14855044900089312,0.17225521079146958,0.042975708538154724
sam,1,tifuknn,continuous,neighbor_support,,15323,0.21418782222802324,0.07814388540648927,0.6265828729117031,0.6036300115909619,0.7105584695915196,0.291326135455018
sam,1,tifuknn,continuous,transition_support,,15323,0.21418782222802324,0.07814388540648927,0.2957368945079244,0.2532827200824085,0.34126879910851976,0.05460284297293387
sam,1,tifuknn,continuous,relational_support,,15323,0.21418782222802324,0.07814388540648927,0.23241985382294061,0.22065803199891373,0.2801689605985448,0.027687492195764468
sam,1,fpmc,target_class,target_class,last_basket_repeat,2549,0.23224794036877205,0.11600146434494858,,,,
sam,1,fpmc,target_class,target_class,novel,8919,0.006727211570803902,0.001363516483548678,,,,
sam,1,fpmc,target_class,target_class,older_repeat,3855,0.04669260700389105,0.014191179595323908,,,,
sam,1,fpmc,continuous,personal_frequency,,15323,0.054297461332637215,0.023660897570450846,0.3349390218146988,0.2955293655715664,0.21398586143428946,0.108171928315414
sam,1,fpmc,continuous,personal_recency_score,,15323,0.054297461332637215,0.023660897570450846,0.3098602390701873,0.2721816172255039,0.22552072879796814,0.1146379478613999
