dataset,keyset,outcome,method,feature,n_users,r2,coef
dunnhumby,1,centered,recency,avg_basket_size,4504,0.050321153359027426,-0.00588013880135792
dunnhumby,1,centered,recency,repeat_rate,4504,0.050321153359027426,-0.045744746792441074
dunnhumby,1,centered,recency,adjacent_basket_jaccard,4504,0.050321153359027426,0.013308212434280254
dunnhumby,1,centered,recency,recent_basket_novelty,4504,0.050321153359027426,-0.02901671981062223
dunnhumby,1,centered,recency,popularity_profile,4504,0.050321153359027426,-0.005741765463578345
dunnhumby,1,centered,recency,neighbor_similarity,4504,0.050321153359027426,-0.0007278626953570867
dunnhumby,1,centered,recency,transition_strength,4504,0.050321153359027426,-0.0024825140883056054
dunnhumby,1,centered,recency,relational_strength,4504,0.050321153359027426,0.0016742208903407132
dunnhumby,1,centered,frequency,n_baskets,4504,0.04771741667288165,-0.00036899120648271585
dunnhumby,1,centered,frequency,avg_basket_size,4504,0.04771741667288165,0.007738382302088359
dunnhumby,1,centered,frequency,repeat_rate,4504,0.04771741667288165,0.020264506486475892
dunnhumby,1,centered,frequency,adjacent_basket_jaccard,4504,0.04771741667288165,0.003943958335017737
dunnhumby,1,centered,frequency,recent_basket_novelty,4504,0.04771741667288165,0.005097622077108608
dunnhumby,1,centered,frequency,popularity_profile,4504,0.04771741667288165,-0.005075166931269571
dunnhumby,1,centered,frequency,neighbor_similarity,4504,0.04771741667288165,0.0025107055337637786
dunnhumby,1,centered,frequency,transition_strength,4504,0.04771741667288165,-0.00017397853431075152
dunnhumby,1,centered,frequency,relational_strength,4504,0.04771741667288165,-0.003778767195512094
dunnhumby,1,centered,tifuknn,n_baskets,4504,0.03950870365687287,-0.007123706785477397
dunnhumby,1,centered,tifuknn,avg_basket_size,4504,0.03950870365687287,0.002989539505231265
dunnhumby,1,centered,tifuknn,repeat_rate,4504,0.03950870365687287,0.01628201170671581
dunnhumby,1,centered,tifuknn,adjacent_basket_jaccard,4504,0.03950870365687287,0.00900951031967961
dunnhumby,1,centered,tifuknn,recent_basket_novelty,4504,0.03950870365687287,0.0021182964245812074
dunnhumby,1,centered,tifuknn,popularity_profile,4504,0.03950870365687287,-0.0035936656638547687
dunnhumby,1,centered,tifuknn,neighbor_similarity,4504,0.03950870365687287,-0.0028805546469543378
dunnhumby,1,centered,tifuknn,transition_strength,4504,0.03950870365687287,0.0005338071779537386
dunnhumby,1,centered,tifuknn,relational_strength,4504,0.03950870365687287,-0.0018174412738409598
dunnhumby,1,centered,fpmc,n_baskets,4504,0.1073777123513352,0.022312559334377594
dunnhumby,1,centered,fpmc,avg_basket_size,4504,0.1073777123513352,-0.016705366881306295
dunnhumby,1,centered,fpmc,repeat_rate,4504,0.1073777123513352,-0.04398782465519172
dunnhumby,1,centered,fpmc,adjacent_basket_jaccard,4504,0.1073777123513352,-0.024064294670151167
dunnhumby,1,centered,fpmc,recent_basket_novelty,4504,0.1073777123513352,-0.00117890712381423
dunnhumby,1,centered,fpmc,popularity_profile,4504,0.1073777123513352,0.005970816710683574
dunnhumby,1,centered,fpmc,neighbor_similarity,4504,0.1073777123513352,-0.0006144762001872375
dunnhumby,1,centered,fpmc,transition_strength,4504,0.1073777123513352,-0.0020141567669223256
dunnhumby,1,centered,fpmc,relational_strength,4504,0.1073777123513352,0.008686201381934888
dunnhumby,1,centered,triple2vec,n_baskets,4504,0.02771281951399618,0.0010696294802755738
dunnhumby,1,centered,triple2vec,avg_basket_size,4504,0.02771281951399618,-0.002632720561461802
dunnhumby,1,centered,triple2vec,repeat_rate,4504,0.02771281951399618,0.015996991748987006
dunnhumby,1,centered,triple2vec,adjacent_basket_jaccard,4504,0.02771281951399618,0.011833710836866879
dunnhumby,1,centered,triple2vec,recent_basket_novelty,4504,0.02771281951399618,0.0044584358303013626
dunnhumby,1,centered,triple2vec,popularity_profile,4504,0.02771281951399618,-0.005161999685716234
dunnhumby,1,centered,triple2vec,neighbor_similarity,4504,0.02771281951399618,-0.0027453326767843656
dunnhumby,1,centered,triple2vec,transition_strength,4504,0.02771281951399618,-0.0037699583214090278
dunnhumby,1,centered,triple2vec,relational_strength,4504,0.02771281951399618,0.0011824060897261536
dunnhumby,1,centered,dnntsp,n_baskets,4504,0.024007875599166395,-0.019896466566826122
dunnhumby,1,centered,dnntsp,avg_basket_size,4504,0.024007875599166395,0.0008768099617237532
dunnhumby,1,centered,dnntsp,repeat_rate,4504,0.024007875599166395,0.008464967245083152
dunnhumby,1,centered,dnntsp,adjacent_basket_jaccard,4504,0.024007875599166395,-0.020166031381138514
dunnhumby,1,centered,dnntsp,recent_basket_novelty,4504,0.024007875599166395,0.0038168819172441273
dunnhumby,1,centered,dnntsp,popularity_profile,4504,0.024007875599166395,0.008104609557129864
dunnhumby,1,centered,dnntsp,neighbor_similarity,4504,0.024007875599166395,-0.001778684965279814
dunnhumby,1,centered,dnntsp,transition_strength,4504,0.024007875599166395,0.0007854609099280443
dunnhumby,1,centered,dnntsp,relational_strength,4504,0.024007875599166395,0.004537084323563159
