dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
instacart,centered,tifuknn,adjacent_basket_jaccard,4124.0,0.016908482069099482,0.001698819968127007,0.05995871654667236,3,positive,0.016908482069099482
instacart,centered,fpmc,transition_strength,4124.0,0.016133499573212622,0.0049196573191937105,0.1689507692102852,3,positive,0.016133499573212622
instacart,centered,frequency,adjacent_basket_jaccard,4124.0,0.015408816796196894,0.0021224866284153005,0.058713695021125,3,positive,0.015408816796196894
instacart,centered,cbp,adjacent_basket_jaccard,4124.0,0.013024056026786511,0.00425937883334151,0.05845673860906919,3,positive,0.013024056026786511
instacart,centered,dnntsp,recent_basket_novelty,4124.0,0.012396536501017024,0.0038245457356246826,0.032699301620827605,3,positive,0.012396536501017024
instacart,centered,diffrec,neighbor_similarity,4124.0,0.012390828563490575,0.0007213732901077655,0.07020584964962051,3,positive,0.012390828563490575
instacart,centered,diffrec,recent_basket_novelty,4124.0,0.011439275380017544,0.0036064664156770444,0.07020584964962051,3,positive,0.011439275380017544
instacart,centered,dnntsp,popularity_profile,4124.0,0.011396651250245249,0.0015227281528066255,0.032699301620827605,3,positive,0.011396651250245249
instacart,centered,tifuknn,n_baskets,4124.0,-0.011370417781612512,0.0029462309924927488,0.05995871654667236,3,negative,0.011370417781612512
instacart,centered,triple2vec,adjacent_basket_jaccard,4124.0,0.011222830092728236,0.009389489001009605,0.15553567401014445,3,positive,0.011222830092728236
instacart,centered,dnntsp,adjacent_basket_jaccard,4124.0,-0.010646454635438498,0.0017481039473700854,0.032699301620827605,3,negative,0.010646454635438498
instacart,centered,dnntsp,n_baskets,4124.0,-0.010537843287107945,0.007072735396699824,0.032699301620827605,3,negative,0.010537843287107945
instacart,centered,tifuknn,popularity_profile,4124.0,-0.010504323666623766,0.00224288644422049,0.05995871654667236,3,negative,0.010504323666623766
instacart,centered,dnntsp,transition_strength,4124.0,-0.010139910232833125,0.004174797153626641,0.032699301620827605,3,negative,0.010139910232833125
instacart,centered,diffrec,relational_strength,4124.0,-0.010062924593198254,0.003331315859844553,0.07020584964962051,3,negative,0.010062924593198254
instacart,centered,dnntsp,avg_basket_size,4124.0,0.00990303669967897,0.009402345717832916,0.032699301620827605,3,mixed,0.00990303669967897
instacart,centered,diffrec,adjacent_basket_jaccard,4124.0,-0.009899565144763997,0.0056821182857595045,0.07020584964962051,3,negative,0.009899565144763997
instacart,centered,cbp,popularity_profile,4124.0,-0.008919916045339009,0.0007377188415582587,0.05845673860906919,3,negative,0.008919916045339009
instacart,centered,frequency,popularity_profile,4124.0,-0.00876662391989129,0.0006337466840262476,0.058713695021125,3,negative,0.00876662391989129
instacart,centered,recency,popularity_profile,4124.0,-0.008628608135256373,0.004963139461459754,0.07334548593427748,3,negative,0.008628608135256373
instacart,centered,triple2vec,recent_basket_novelty,4124.0,0.008590699512555281,0.001915266770830918,0.15553567401014445,3,positive,0.008590699512555281
instacart,centered,recency,avg_basket_size,4124.0,-0.008476532310129068,0.007465286550858678,0.07334548593427748,3,negative,0.008476532310129068
instacart,centered,fpmc,recent_basket_novelty,4124.0,0.007897156715246057,0.003896091332508432,0.1689507692102852,3,positive,0.007897156715246057
instacart,centered,recency,n_baskets,4124.0,0.007516826751866927,0.005954530416722103,0.07334548593427748,3,positive,0.007516826751866927
instacart,centered,frequency,avg_basket_size,4124.0,0.007360696301510158,0.001926774626663588,0.058713695021125,3,positive,0.007360696301510158
instacart,centered,cbp,avg_basket_size,4124.0,0.006936761575179744,0.002550672524033759,0.05845673860906919,3,positive,0.006936761575179744
instacart,centered,dnntsp,relational_strength,4124.0,0.00676209906935174,0.004733409918407842,0.032699301620827605,3,positive,0.00676209906935174
instacart,centered,tifuknn,avg_basket_size,4124.0,0.006529336446437408,0.001915279976318007,0.05995871654667236,3,positive,0.006529336446437408
instacart,centered,cbp,n_baskets,4124.0,-0.005593659464324475,0.0010547606380824103,0.05845673860906919,3,negative,0.005593659464324475
instacart,centered,fpmc,avg_basket_size,4124.0,0.005584791383798696,0.006065024623830667,0.1689507692102852,3,positive,0.005584791383798696
instacart,centered,fpmc,relational_strength,4124.0,0.004708282997611454,0.006284480253743719,0.1689507692102852,3,mixed,0.004708282997611454
instacart,centered,frequency,n_baskets,4124.0,-0.004501675713759212,0.0025299556403207495,0.058713695021125,3,negative,0.004501675713759212
instacart,centered,fpmc,popularity_profile,4124.0,0.003925903946185599,0.004162103149233441,0.1689507692102852,3,mixed,0.003925903946185599
instacart,centered,cbp,transition_strength,4124.0,-0.003777350025116593,0.0018332412264904828,0.05845673860906919,3,negative,0.003777350025116593
instacart,centered,tifuknn,neighbor_similarity,4124.0,-0.003452367279288125,0.003446792212690092,0.05995871654667236,3,mixed,0.003452367279288125
