dataset,keyset,method_a,method_b,n_users,n_decisive,a_win_rate,b_win_rate,tie_rate,decisive_rate,conditional_a_win_rate,conditional_b_win_rate,mean_delta
retailrocket,2,racf,tifuknn,170,4,0.0058823529411764705,0.01764705882352941,0.9764705882352941,0.023529411764705882,0.25,0.75,-0.006871338448653632
retailrocket,2,racf,fpmc,170,18,0.09411764705882353,0.011764705882352941,0.8941176470588236,0.10588235294117647,0.8888888888888888,0.1111111111111111,0.06911165641218371
retailrocket,2,racf,triple2vec,170,3,0.0058823529411764705,0.011764705882352941,0.9823529411764705,0.01764705882352941,0.3333333333333333,0.6666666666666666,-0.0044663618770436255
retailrocket,2,racf,sets2sets,170,3,0.011764705882352941,0.0058823529411764705,0.9823529411764705,0.01764705882352941,0.6666666666666666,0.3333333333333333,0.006224510877998819
retailrocket,2,racf,dnntsp,170,84,0.47058823529411764,0.023529411764705882,0.5058823529411764,0.49411764705882355,0.9523809523809523,0.047619047619047616,0.41574318218386364
retailrocket,2,racf,cbp,170,7,0.01764705882352941,0.023529411764705882,0.9588235294117647,0.041176470588235294,0.42857142857142855,0.5714285714285714,-0.011605514772206275
retailrocket,2,racf,diffrec,170,8,0.029411764705882353,0.01764705882352941,0.9529411764705882,0.047058823529411764,0.625,0.375,-0.0023234622953313714
retailrocket,2,tifuknn,fpmc,170,17,0.1,0.0,0.9,0.1,1.0,0.0,0.07598299486083736
retailrocket,2,tifuknn,triple2vec,170,6,0.01764705882352941,0.01764705882352941,0.9647058823529412,0.03529411764705882,0.5,0.5,0.0024049765716100077
retailrocket,2,tifuknn,sets2sets,170,5,0.023529411764705882,0.0058823529411764705,0.9705882352941176,0.029411764705882353,0.8,0.2,0.013095849326652451
retailrocket,2,tifuknn,dnntsp,170,83,0.47058823529411764,0.01764705882352941,0.5117647058823529,0.48823529411764705,0.963855421686747,0.03614457831325301,0.42261452063251737
retailrocket,2,tifuknn,cbp,170,6,0.01764705882352941,0.01764705882352941,0.9647058823529412,0.03529411764705882,0.5,0.5,-0.0047341763235526435
retailrocket,2,tifuknn,diffrec,170,7,0.029411764705882353,0.011764705882352941,0.9588235294117647,0.041176470588235294,0.7142857142857143,0.2857142857142857,0.0045478761533222604
retailrocket,2,fpmc,triple2vec,170,20,0.011764705882352941,0.10588235294117647,0.8823529411764706,0.11764705882352941,0.1,0.9,-0.07357801828922735
retailrocket,2,fpmc,sets2sets,170,16,0.0058823529411764705,0.08823529411764706,0.9058823529411765,0.09411764705882353,0.0625,0.9375,-0.0628871455341849
