dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho
retailrocket,tifuknn,triple2vec,n_baskets,0.03190571103467737,-0.11222197798588686,-0.0013585773534431093,-0.027224948101550867,0.04849542212466911,-0.11222197798588686,0.03190571103467737,0.14412768902056422,mixed,False,0.027224948101550867
retailrocket,tifuknn,triple2vec,neighbor_similarity,-0.056429116640405244,-0.03053492742945248,-0.01989376886619419,-0.03561927097868397,0.03561927097868397,-0.056429116640405244,-0.01989376886619419,0.03653534777421105,---,True,0.03561927097868397
retailrocket,tifuknn,triple2vec,popularity_profile,-0.0081759248399483,-0.05046299811707907,-0.0600076240803707,-0.039548849012466025,0.039548849012466025,-0.0600076240803707,-0.0081759248399483,0.0518316992404224,---,True,0.039548849012466025
retailrocket,tifuknn,triple2vec,recency_frequency_disagreement,-0.006902109152093614,0.012320663070780601,0.0,0.001806184639562329,0.006407590740958071,-0.006902109152093614,0.012320663070780601,0.019222772222874215,mixed,False,0.001806184639562329
retailrocket,tifuknn,triple2vec,recent_basket_novelty,0.018552836451476956,0.06157321464142248,0.06351521973190286,0.047880423608267435,0.047880423608267435,0.018552836451476956,0.06351521973190286,0.0449623832804259,+++,True,0.047880423608267435
retailrocket,tifuknn,triple2vec,repeat_rate,0.05024963936771833,-0.2626740773815291,-0.0034717473396097347,-0.07196539511780684,0.10546515469628572,-0.2626740773815291,0.05024963936771833,0.3129237167492474,mixed,False,0.07196539511780684
retailrocket,tifuknn,triple2vec,transition_predictability,0.24404676504598818,,0.16355112715421938,0.2037989461001038,0.2037989461001038,0.16355112715421938,0.24404676504598818,0.0804956378917688,missing,False,0.2037989461001038
retailrocket,triple2vec,dnntsp,adjacent_basket_jaccard,0.3225810681049169,0.5793875797216431,0.5076325039560641,0.469867050594208,0.469867050594208,0.3225810681049169,0.5793875797216431,0.25680651161672624,+++,True,0.469867050594208
retailrocket,triple2vec,dnntsp,avg_basket_size,-0.21731860598516692,-0.39718774100836496,-0.35134527001324284,-0.3219505390022583,0.3219505390022583,-0.39718774100836496,-0.21731860598516692,0.17986913502319804,---,True,0.3219505390022583
retailrocket,triple2vec,dnntsp,cooccurrence_support,-0.21254359881293386,0.1643930981863631,-0.19498458494065546,-0.08104502852240873,0.19064042731331746,-0.21254359881293386,0.1643930981863631,0.376936696999297,mixed,False,0.08104502852240873
retailrocket,triple2vec,dnntsp,n_baskets,-0.39413090088094727,-0.4657505461487064,-0.4092384223213218,-0.42303995645032516,0.42303995645032516,-0.4657505461487064,-0.39413090088094727,0.07161964526775916,---,True,0.42303995645032516
retailrocket,triple2vec,dnntsp,neighbor_similarity,-0.40139769185619073,-0.4113371134063686,-0.3413716093624799,-0.3847021382083464,0.3847021382083464,-0.4113371134063686,-0.3413716093624799,0.06996550404388868,---,True,0.3847021382083464
retailrocket,triple2vec,dnntsp,popularity_profile,-0.23834019937124382,-0.19790905593329725,-0.1543755570013631,-0.19687493743530138,0.19687493743530138,-0.23834019937124382,-0.1543755570013631,0.08396464236988072,---,True,0.19687493743530138
retailrocket,triple2vec,dnntsp,recency_frequency_disagreement,-0.2331039023341454,-0.35438550302560334,-0.3049946361445251,-0.29749468050142464,0.29749468050142464,-0.35438550302560334,-0.2331039023341454,0.12128160069145794,---,True,0.29749468050142464
retailrocket,triple2vec,dnntsp,recent_basket_novelty,-0.22612084248673475,-0.5309765704580889,-0.5668637639825292,-0.4413203923091176,0.4413203923091176,-0.5668637639825292,-0.22612084248673475,0.3407429214957945,---,True,0.4413203923091176
retailrocket,triple2vec,dnntsp,repeat_rate,-0.19466020306371115,-0.07098734273028068,-0.09405717428578804,-0.11990157335992663,0.11990157335992663,-0.19466020306371115,-0.07098734273028068,0.12367286033343047,---,True,0.11990157335992663
retailrocket,triple2vec,dnntsp,transition_predictability,-0.5387063629237596,-0.2713602101199873,-0.16720257373023498,-0.3257563822579939,0.3257563822579939,-0.5387063629237596,-0.16720257373023498,0.37150378919352467,---,True,0.3257563822579939
retailrocket,triple2vec,sets2sets,adjacent_basket_jaccard,0.01963509509786383,0.12076290677617074,-0.13440699402068587,0.0019970026177828968,0.09160166529824014,-0.13440699402068587,0.12076290677617074,0.25516990079685664,mixed,False,0.0019970026177828968
retailrocket,triple2vec,sets2sets,avg_basket_size,-0.03203738043949964,0.18532332914238958,0.18753193375607746,0.1136059608196558,0.1349642144459889,-0.03203738043949964,0.18753193375607746,0.2195693141955771,mixed,False,0.1136059608196558
retailrocket,triple2vec,sets2sets,cooccurrence_support,0.0724150127339042,0.19958039772530378,-0.25369175181220516,0.006101219549000947,0.17522905409047107,-0.25369175181220516,0.19958039772530378,0.45327214953750894,mixed,False,0.006101219549000947
retailrocket,triple2vec,sets2sets,n_baskets,0.045084750956959095,0.07277858499908565,-0.12418721004097473,-0.002107958028309991,0.08068351533233982,-0.12418721004097473,0.07277858499908565,0.1969657950400604,mixed,False,0.002107958028309991
retailrocket,triple2vec,sets2sets,neighbor_similarity,0.014747647481546727,0.1265793618737212,0.01628132174066467,0.05253611036531086,0.05253611036531086,0.014747647481546727,0.1265793618737212,0.11183171439217449,+++,True,0.05253611036531086
retailrocket,triple2vec,sets2sets,popularity_profile,0.035980617775167305,0.13409758111730014,0.021874424913209258,0.06398420793522556,0.06398420793522556,0.021874424913209258,0.13409758111730014,0.11222315620409087,+++,True,0.06398420793522556
