dataset,keyset,claim_type,method,feature,expected_sign,n_users_complete,n_users_nonzero,all_zero_fraction,coef_full,bootstrap_median,ci_low,ci_high,ci_excludes_zero,matches_expected_sign,coef_nonzero_users,nonzero_same_sign,rho_raw,rho_centered
instacart,1,expected,triple2vec,relational_strength,1,4124,3588,0.12997090203685746,-0.0009513815613953879,-0.001301863878482818,-0.011084430431303752,0.008641097886593178,False,False,-0.0011607344999257805,True,0.192470639105895,0.09827820406566402
instacart,1,discovery,fpmc,n_baskets,1,4124,3588,0.12997090203685746,0.05067335489197075,0.049773769062055245,0.03727798441626857,0.06280326632613276,True,True,0.04446195762088163,True,0.1677705223890187,-0.04077285173563456
instacart,1,observed_contrast,fpmc,repeat_rate,-1,4124,3588,0.12997090203685746,-0.07257534807204981,-0.07207620246136531,-0.08765976162684191,-0.05598794541900745,True,True,-0.06110942776331021,True,0.24120004542037027,-0.2631670183778265
instacart,1,observed_contrast,recency,repeat_rate,-1,4124,3588,0.12997090203685746,-0.07905197460109281,-0.07912910376107425,-0.09272129833819852,-0.06357256915928895,True,True,-0.08568850072925749,True,0.25115545280565266,-0.18923501631933526
instacart,2,expected,frequency,repeat_rate,1,4124,3583,0.1311833171677983,0.019870113782762273,0.02000340017943302,0.01139359024841815,0.028388523425761782,True,True,0.015652577578569672,True,0.35081263096944404,0.18996278905438066
instacart,2,expected,tifuknn,repeat_rate,1,4124,3583,0.1311833171677983,0.023496844324288994,0.023508234607467524,0.014721285440726446,0.03274232187476638,True,True,0.021463154497529988,True,0.3487725951574628,0.17600207505493243
instacart,2,expected,cbp,repeat_rate,1,4124,3583,0.1311833171677983,0.02470830467996689,0.024673034032449366,0.014989465487965216,0.03468140542478547,True,True,0.021423173716289347,True,0.35787907636184274,0.18857673686184573
instacart,2,expected,recency,adjacent_basket_jaccard,1,4124,3583,0.1311833171677983,0.01882601175679007,0.018246183422480668,0.0089151043404234,0.028610588035610427,True,True,0.02181547517116109,True,0.37326187171096686,-0.03345907812310382
instacart,2,expected,fpmc,transition_strength,1,4124,3583,0.1311833171677983,0.020966683024971032,0.02044259896905995,0.0037590066370136953,0.03665590316930296,True,True,0.02032911988431414,True,0.0979526162105958,-0.10421072283573173
instacart,2,expected,dnntsp,transition_strength,1,4124,3583,0.1311833171677983,-0.006885328658882453,-0.007015245778810424,-0.021767868890220605,0.007313441774438664,False,False,-0.009190664693288697,True,0.15151537790240818,-0.0013955169913196777
instacart,2,expected,triple2vec,relational_strength,1,4124,3583,0.1311833171677983,0.008616113097503559,0.008502183547385904,-0.0005260010106111773,0.018195339407156653,False,True,0.006415394720424865,True,0.14917651188246212,0.0350761211938331
instacart,2,discovery,fpmc,n_baskets,1,4124,3583,0.1311833171677983,0.06342675760007405,0.06362707652457801,0.050896768661919584,0.07651136015499813,True,True,0.06136327316400399,True,0.14673767884079403,0.018186094343779637
instacart,2,observed_contrast,fpmc,repeat_rate,-1,4124,3583,0.1311833171677983,-0.07396466687528663,-0.07392058714307784,-0.09093045730497072,-0.05846683452066432,True,True,-0.06842201493643318,True,0.2219109112978103,-0.20793150902919005
instacart,2,observed_contrast,recency,repeat_rate,-1,4124,3583,0.1311833171677983,-0.07465565200364517,-0.07445269247299124,-0.09034746588661142,-0.059588770801612664,True,True,-0.08070931030579853,True,0.2435528046625916,-0.10962286700956807
sam,0,expected,frequency,repeat_rate,1,3678,2518,0.31538879825992383,0.024204889840156635,0.024479195513595484,0.013031854798549904,0.03513546251027705,True,True,0.006536076092366731,True,0.5060850377983506,0.3079645524005107
sam,0,expected,tifuknn,repeat_rate,1,3678,2518,0.31538879825992383,0.0373664225871242,0.037591937355517184,0.024816628930668737,0.049045045107871534,True,True,0.026903183956642217,True,0.508453512343148,0.29566400700730994
sam,0,expected,cbp,repeat_rate,1,3678,2518,0.31538879825992383,0.04233413098902128,0.042686672692153295,0.031088646598236912,0.05428158075163178,True,True,0.03292935339445833,True,0.5153958008040104,0.30814508639443006
sam,0,expected,recency,adjacent_basket_jaccard,1,3678,2518,0.31538879825992383,0.05807185525761456,0.057646676506724566,0.04261974653976542,0.07291981591935162,True,True,0.0678031900143903,True,0.4660172935224506,0.15888596797618557
sam,0,expected,fpmc,transition_strength,1,3678,2518,0.31538879825992383,0.014318960235695441,0.014944903710603159,0.0009377434228842409,0.030767772398677257,True,True,0.017900785447034596,True,-0.086283901972111,0.03987132772584826
sam,0,expected,dnntsp,transition_strength,1,3678,2518,0.31538879825992383,-0.02260337657852109,-0.022767622690945746,-0.038115820404577956,-0.006775203217362008,True,False,-0.03351218877385142,True,-0.10705583318578428,-0.012788192930540872
sam,0,expected,triple2vec,relational_strength,1,3678,2518,0.31538879825992383,-0.002292150948013585,-0.00261918250884508,-0.012262041201737172,0.0077944956730639945,False,False,-0.0034688122400156358,True,-0.11618316997152253,-0.021559566227164297
sam,0,discovery,fpmc,n_baskets,1,3678,2518,0.31538879825992383,0.03743795410302163,0.03746665957788506,0.02803373087764781,0.047504856628715786,True,True,0.035042827314140164,True,0.08774774227664203,-0.07269230151867155
sam,0,observed_contrast,fpmc,repeat_rate,-1,3678,2518,0.31538879825992383,-0.07256470235042822,-0.0730151485231441,-0.09737994394000105,-0.051549598849417,True,True,-0.04145810339697335,True,0.3551923376094785,-0.20937484718697166
sam,0,observed_contrast,recency,repeat_rate,-1,3678,2518,0.31538879825992383,-0.07288251010155963,-0.07240197288071165,-0.0900228832857088,-0.05559400126905793,True,True,-0.0932794461162513,True,0.4319745921171619,0.08666087633455283
sam,1,expected,frequency,repeat_rate,1,3678,2454,0.33278955954323,0.02698437503904698,0.027482172682354054,0.01541086343270658,0.040089669541907146,True,True,0.014082692506960667,True,0.4814221951974612,0.2928066411767741
sam,1,expected,tifuknn,repeat_rate,1,3678,2454,0.33278955954323,0.03577153617653204,0.03576872046957941,0.02460243594993325,0.04771701750355474,True,True,0.029782002490135746,True,0.4793072192585186,0.2629112464532187
sam,1,expected,cbp,repeat_rate,1,3678,2454,0.33278955954323,0.041728094935314756,0.041669674157833056,0.030066141110074884,0.05297912917535192,True,True,0.03576025751833573,True,0.4988120452462783,0.30091976959607514
sam,1,expected,recency,adjacent_basket_jaccard,1,3678,2454,0.33278955954323,0.06178578015252264,0.060894666962651195,0.0480527701343497,0.07758614135186848,True,True,0.07096349356642914,True,0.4221725252772143,0.12485461415541484
