dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
instacart,transition_strength,2,diffrec,4124.0,4124.0,0.13179422934902982,0.010524923793818846,-0.04796597439226872,0.005350252769269499,3,negative
instacart,transition_strength,2,dnntsp,4124.0,4124.0,0.1726914765090346,0.018843003205803774,0.02392298922009173,0.022049567624888727,3,mixed
instacart,transition_strength,2,fpmc,4124.0,4124.0,0.10338431422711891,0.01125785682921637,-0.11452171364671769,0.009360774892832229,3,negative
instacart,transition_strength,2,frequency,4124.0,4124.0,0.2018844960712702,0.016587288192224613,0.12374344562401728,0.013613678997970618,3,positive
instacart,transition_strength,2,recency,4124.0,4124.0,0.1332477083945369,0.004527757811163877,-0.05901168481179874,0.02321468251579542,3,negative
instacart,transition_strength,2,tifuknn,4124.0,4124.0,0.1975801323161698,0.009859199588036027,0.10810006349033967,0.009113270939237552,3,positive
instacart,transition_strength,2,triple2vec,4124.0,4124.0,0.19190995676817812,0.02290377401242225,0.10052100292578037,0.022472230804793887,3,positive
instacart,transition_strength,3,cbp,3946.6666666666665,3946.6666666666665,0.20601830222006923,0.011896785798376004,0.12098688004303852,0.017157585647465893,3,positive
instacart,transition_strength,3,diffrec,3946.6666666666665,3946.6666666666665,0.13340198751455015,0.008581853655753046,-0.050500135720569085,0.006780510379181437,3,negative
instacart,transition_strength,3,dnntsp,3946.6666666666665,3946.6666666666665,0.17488753953381123,0.015924087439044814,0.02297653391363108,0.02309643486864322,3,mixed
instacart,transition_strength,3,fpmc,3946.6666666666665,3946.6666666666665,0.10762705921003946,0.014323784688481295,-0.1147778935722467,0.0052426860062868815,3,negative
instacart,transition_strength,3,frequency,3946.6666666666665,3946.6666666666665,0.20537440469705756,0.014403756816271939,0.1248469396881907,0.009847948750136958,3,positive
instacart,transition_strength,3,recency,3946.6666666666665,3946.6666666666665,0.13880912262716166,0.005353853072774826,-0.054931756461209263,0.01762854722242769,3,negative
instacart,transition_strength,3,tifuknn,3946.6666666666665,3946.6666666666665,0.2019168981633098,0.00809349763945856,0.11051052336275995,0.009988995514587661,3,positive
instacart,transition_strength,3,triple2vec,3946.6666666666665,3946.6666666666665,0.1950087671595886,0.02071356719671039,0.10080010999832273,0.02041189007614783,3,positive
instacart,transition_strength,5,cbp,3102.3333333333335,3102.3333333333335,0.2247459241855264,0.020169206597902216,0.12748490055489822,0.013742599713325317,3,positive
instacart,transition_strength,5,diffrec,3102.3333333333335,3102.3333333333335,0.14562102393909693,0.02103909006321139,-0.0621393262968459,0.0012941594050684966,3,negative
instacart,transition_strength,5,dnntsp,3102.3333333333335,3102.3333333333335,0.17869726340669131,0.02915457182967684,0.002006927088767292,0.029117289037105802,3,mixed
instacart,transition_strength,5,fpmc,3102.3333333333335,3102.3333333333335,0.13681954093508547,0.020370848640862794,-0.11147027821616524,0.008692343852337699,3,negative
instacart,transition_strength,5,frequency,3102.3333333333335,3102.3333333333335,0.22419147497358216,0.025121342230148416,0.13070378673808578,0.02065699630076924,3,positive
instacart,transition_strength,5,recency,3102.3333333333335,3102.3333333333335,0.16404716717865853,0.013616516782322294,-0.04837605258606536,0.018531726653309454,3,negative
instacart,transition_strength,5,tifuknn,3102.3333333333335,3102.3333333333335,0.22156362246853775,0.016400814169560966,0.11837395701265302,0.009495848498504681,3,positive
